Tempo_s,Valor
0,0
0.0651790000000005,0
0.130403000000001,0
0.195643998999969,0
0.260849000000007,0
0.326112998999974,0
0.391445998999984,0
0.456508998999993,0
0.521744000000012,0
0.586952999999994,0
0.65219099899997,0
0.717409998999983,0
0.782637998999974,0
0.847847000000002,0
0.913086998999972,0
0.978307998999981,0
1.04353199899998,0
1.10888299999999,0
1.173993,0
1.23918900000001,0
1.30442499899999,0
1.36963599899997,0
1.43487299899999,0
1.500112,0
1.56538599999999,0
1.630566999,0
1.69576699999999,0
1.76098999999999,0
1.82633499899998,0
1.89143799999999,0
1.95666199999999,0
2.021884,0
2.08722999899999,0
2.152332,0
2.21771100000001,0
2.28285699899999,0
2.34800300000001,0
2.41322600000001,0
2.478655,0
2.54373499899998,0
2.60889700000001,0
2.67412099899997,0
2.73944699899999,0
2.80456799899997,0
2.86979199899997,0
2.93514699899998,0
3.00023999899997,0
3.06547599999999,0
3.13068799899997,0
3.19590899899998,0
3.26137299999999,0
3.32635499899999,0
3.39157899899999,0
3.45682399899999,0
3.52202599899999,0
3.587265,0
3.65247299999999,0
3.71774199999999,0
3.78292099999999,0
3.84814299999999,0
3.91336799999999,0
3.97866099999999,0
4.043814,0
4.10907499899997,0
4.17426699999999,0
4.23949699899998,0
4.304709,0
4.37002899999999,0
4.43516399999999,0
4.50037900000001,0
4.56560200000001,0
4.63082600000001,0
4.69613199899999,0
4.76127399899997,0
4.82649699899997,0
4.89172300000001,0
4.95694399899998,0
5.02216699899998,0
5.08745499899999,0
5.15261399899998,0
5.21782400000001,0
5.28306099899999,0
5.34827100000001,0
5.413521,0
5.47872100000001,0
5.54396700000001,0
5.60918199899999,0
5.67440299899999,0
5.73962499999999,0
5.80492699899997,0
5.87005799899998,0
5.93529799999999,0
6.00050599899998,0
6.065744,0
6.130987,0
6.19635499899999,0
6.26139999899999,0
6.32664,0
6.39186100000001,0
6.45708500000001,0
6.52234899899997,0
6.58753200000001,0
6.65274099999999,0
6.71800099899997,0
6.78318899999999,0
6.84860699899997,0
6.91399699999999,0
6.97887399899997,0
7.04409899899997,0
7.10933299999999,0
7.17454399899998,0
7.239823,0
7.30498999899999,0
7.37021499899998,0
7.43549100000001,0
7.50066199899999,0
7.56588999899998,0
7.63144399999999,0
7.69633599899998,0
7.761555999,0
7.82677899999999,0
7.89200199999999,0
7.95725299899999,0
8.02245099999999,0
8.087673,0
8.15291400000001,0
8.21812,0
8.283343,0
8.34867099899998,0
8.413793,0
8.479015,0
8.544239,0
8.60946100000001,0
8.67470099899998,0
8.73990900000001,0
8.80513199899997,0
8.87035800000001,0
8.93561399999999,0
9.00080299899997,0
9.06614400000001,0
9.13125099899997,0
9.19647399899998,0
9.26169799899998,0
9.326977,0
9.39214399899998,0
9.45736599899999,0
9.52260200000001,0
9.587829,0
9.65308999899997,0
9.71824599899998,0
9.78357799899999,0
9.84869499899997,0
9.91393199999999,0
9.97914199899998,0
10.044899999,0
10.109634999,0
10.174994999,0
10.240052,0
10.305287999,0
10.370497,0
10.435822999,0
10.500998999,0
10.566168,0
10.631391,0
10.696822,0
10.761839,0
10.827060999,0
10.892428,0
10.957514,0
11.022915,0
11.087968,0
11.153178999,0
11.218649999,0
11.283626999,0
11.349030999,0
11.41409,0
11.479333,0
11.544519999,0
11.60973,0
11.675393,0
11.740176999,0
11.805439999,0
11.870819999,0
11.935883,0
12.001085,0
12.066333,0
12.131534,0
12.196767999,0
12.261979,0
12.327863999,0
12.392429,0
12.45765,0
12.522873,0
12.588095,0
12.653913,0
12.71853,0
12.783768,0
12.849022,0
12.914215,0
12.979437999,0
13.044742999,0
13.109912,0
13.175121,0
13.240331999,0
13.306005999,0
13.370778999,0
13.435989,0
13.501229999,0
13.566443,0
13.631673999,0
13.696896999,0
13.762209999,0
13.827343999,0
13.892567,0
13.957791,0
14.023014,0
14.088284,0
14.153605999,0
14.218687,0
14.283895999,0
14.349144999,0
14.414340999,0
14.479604,0
14.544803,0
14.610161,0
14.675282999,0
14.740473,0
14.805871999,0
14.871045999,0
14.936148,0
15.001368,0
15.066591999,0
15.131814999,0
15.197097,0
15.262247,0
15.327484999,0
15.392697,0
15.457931999,0
15.523155999,0
15.588706,0
15.653605999,0
15.718826999,0
15.784049999,0
15.849272999,0
15.915066999,0
15.979720999,0
16.044967999,0
16.110152999,0
16.175405,0
16.241157999,0
16.305936999,0
16.371066999,0
16.436285,0
16.501509,0
16.566732,0
16.631956,0
16.697178,0
16.762437999,0
16.827632,0
16.893139999,0
16.958074,0
17.023403999,0
17.088506,0
17.153744999,0
17.218954,0
17.284190999,0
17.349414999,0
17.414769999,0
17.479861999,0
17.545211,0
17.610308999,0
17.675531999,0
17.740812,0
17.805980999,0
17.871201999,0
17.936426999,0
18.001688,0
18.066858999,0
18.132227,0
18.197311,0
18.262544,0
18.327767,0
18.393041999,0
18.458234,0
18.523438,0
18.588662,0
18.653944999,0
18.719109,0
18.784349999,0
18.849656999,0
18.914802,0
18.980003,0
19.045213,0
19.110449999,0
19.176823,0
19.240896999,0
19.306144999,0
19.371344999,0
19.436566999,0
19.501790999,0
19.567062999,0
19.632236999,0
19.697474,0
19.762768,0
19.827908999,0
19.893191,0
19.958395,0
20.023572,0
20.088867,0
20.154026,0
20.21925,0
20.284529999,0
20.349698,0
20.41492,0
20.480143,0
20.545367,0
20.610593,0
20.676010999,0
20.741064,0
20.806461,0
20.871483,0
20.936709,0
21.001962,0
21.067157,0
21.132378999,0
21.197627,0
21.262863999,0
21.328049999,0
21.393446999,0
21.458501,0
21.523727,0
21.588943999,0
21.654166999,0
21.719388999,0
21.784614999,0
21.849825,0
21.915061999,0
21.980477,0
22.045508999,0
22.111414999,0
22.175957999,0
22.241179,0
22.306404999,0
22.371626,0
22.437194999,0
22.502073,0
22.567322,0
22.632524,0
22.697729999,0
22.763685,0
22.828328,0
22.893415,0
22.958638,0
23.023862,0
23.089085,0
23.154327999,0
23.219531999,0
23.284763,0
23.349986,0
23.415486999,0
23.480425999,0
23.545902,0
23.610873999,0
23.676083,0
23.741532,0
23.806767999,0
23.871766999,0
23.936990999,0
24.002216999,0
24.067598999,0
24.132660999,0
24.197884,0
24.26317,0
24.328332,0
24.393693999,0
24.458819,0
24.523987999,0
24.589291,0
24.654572999,0
24.719759,0
24.7849,0
24.85012,0
24.915363,0
24.980643999,0
25.045791,0
25.111015,0
25.176288,0
25.241460999,0
25.306684999,0
25.372536999,0
25.437133999,0
25.502342,0
25.567578999,0
25.632788,0
25.698584999,0
25.763249999,0
25.828498999,0
25.893732,0
25.958919999,0
26.024315,0
26.089442999,0
26.154589999,0
26.219814,0
