Tempo_s,Valor
0,-0.26621749997139
0.0652430010000025,-0.420901030302048
0.130462001000001,-0.406249701976776
0.195686001000002,-0.354433089494705
0.260921,-0.344324469566345
0.326132001000001,-0.354585468769073
0.391356001000002,-0.406849175691605
0.456724001000001,-0.397024840116501
0.521808,-0.326201528310776
0.587027001000003,-0.310352325439453
0.652250001000002,-0.289266437292099
0.717474000999999,-0.203542977571487
0.78274,-0.350640743970871
0.847920999999999,-0.351031124591827
0.913187000000001,-0.32659712433815
0.978388001000003,-0.303505152463913
1.043609,-0.293121755123138
1.108801,-0.271536350250244
1.174132,-0.263167768716812
1.239247001,-0.175632357597351
1.304498001,-0.534699618816376
1.369694001,-0.505082249641418
1.434933,-0.484700679779053
1.500525,-0.757057726383209
1.565571001,-0.73206639289856
1.630605001,-0.833753705024719
1.695828001,-0.509523808956146
1.761051001,-0.481350272893906
1.826274001,-0.510421693325043
1.891655,-0.611242234706879
1.956721001,-0.635947585105896
2.021944001,-0.647567272186279
2.087191,-0.641906559467316
2.152407,-0.666656792163849
2.217618001,-0.705037236213684
2.283008001,-0.697419404983521
2.348063,-0.708298742771149
2.413286,-0.72601044178009
2.478509001,-0.724741458892822
2.543732001,-0.733319640159607
2.609007001,-0.723379015922546
2.674179001,-0.669172823429108
2.739416001,-0.596944868564606
2.804631,-0.726701736450195
2.869836,-0.647218346595764
2.935074,-0.75343906879425
3.000348001,-0.77762359380722
3.065523001,-0.805028676986694
3.130743001,-0.815369725227356
3.195989,-0.815959692001343
3.261176001,-0.79962557554245
3.326558001,-0.831329524517059
3.391793,-0.846890211105347
3.456875,-0.83209502696991
3.522089001,-0.804163694381714
3.587309001,-0.839448928833008
3.652877,-0.775122225284576
3.717780001,-0.806550085544586
3.782980001,-0.857020676136017
3.848281,-0.84212589263916
3.913429,-0.834685266017914
3.978650001,-0.797178328037262
4.043875,-0.810498952865601
4.109169001,-0.724064588546753
4.174320001,-0.588021755218506
4.239544001,-0.48382568359375
4.304768001,-0.849062979221344
4.369991001,-0.756718873977661
4.435308001,-0.771998763084412
4.500658001,-0.79875385761261
4.565663,-0.782400369644165
4.630888001,-0.596539199352264
4.696109,-0.79103696346283
4.761319,-0.794776618480682
4.826596001,-0.770674586296082
4.891778001,-0.739494979381561
4.957003,-0.771404325962067
5.022212,-0.745518863201141
5.087449,-0.740133166313171
5.152837001,-0.816086888313293
5.2179,-0.827787756919861
5.283123,-0.740568697452545
5.348357,-0.773058235645294
5.413624001,-0.750403642654419
5.478791001,-0.800273954868317
5.544014,-0.749915182590485
5.609239001,-0.697156190872192
5.674519,-0.685434937477112
5.739689001,-0.656251311302185
5.804909001,-0.709102034568787
5.870132001,-0.706230878829956
5.935421001,-0.718945324420929
6.00058,-0.700519144535065
6.065803001,-0.687380075454712
6.131048,-0.710756480693817
6.196249001,-0.721725702285767
6.261474,-0.713037431240082
6.326815,-0.638754546642303
6.391922,-0.663995206356049
6.457144,-0.737382233142853
6.522368,-0.79779440164566
6.587592,-0.851933360099792
6.652879001,-0.743828117847443
6.718039,-0.55817037820816
6.783271001,-0.797295033931732
6.848485,-0.873564064502716
6.913694,-0.882713735103607
6.978932,-0.858348488807678
7.044264001,-0.843250930309296
7.109379,-0.91627049446106
7.174639001,-1.00778889656067
7.239957,-0.765783131122589
7.305050001,-0.463415682315826
7.370348,-0.395698487758636
7.435497001,-0.912107765674591
7.500741001,-1.08205008506775
7.565962001,-0.93279767036438
7.631168001,-1.03740739822388
7.696391001,-0.73246568441391
7.761688,-0.742902815341949
7.826851001,-0.722786009311676
7.892062001,0.403604030609131
7.957292001,-1.53222763538361
8.022508001,-1.63961720466614
8.087732001,-2.82074809074402
8.153065001,-1.18706047534943
8.218204,-0.720800459384918
8.283403,-0.722240149974823
8.348642001,-0.353741675615311
8.413836,0.122819252312183
8.479314001,-1.51031386852264
8.544283,-1.49958729743958
8.609556001,-1.29832196235657
8.674734,-1.55554008483887
8.739980001,-1.47252058982849
8.805803,-1.67775416374207
8.870518,-1.4492164850235
8.935927,-1.38987374305725
9.000862001,-1.38024699687958
9.066107001,-1.44553780555725
9.131308,-1.47813367843628
9.196532001,-1.42129933834076
9.261874001,-1.39209306240082
9.326998,-1.40587961673737
9.392208,-1.48543894290924
9.457426001,-1.42694461345673
9.522650001,-1.41427636146545
9.588068,-1.40139055252075
9.653097001,-1.43553161621094
9.718347001,-1.46780669689178
9.78358,-1.44644713401794
9.848767001,-1.44011247158051
9.913992,-1.43382525444031
9.979283001,-1.38061022758484
10.044439,-1.41052293777466
10.109662,-1.34466457366943
10.174886,-1.40086758136749
10.240109,-1.39061164855957
10.305341001,-1.36107683181763
10.370613001,-1.3624849319458
10.435765,-1.36413788795471
10.501005001,-1.35965764522552
10.566213001,-1.31945407390594
10.63145,-1.31831336021423
10.696721,-1.31642866134644
10.761897001,-1.32206010818481
10.827121001,-1.28929424285889
10.892354,-1.28392279148102
10.957568,-1.33955144882202
11.022791001,-1.34722936153412
11.088124001,-1.30294179916382
11.15324,-1.30781102180481
11.218462,-1.2843621969223
11.283744001,-1.30022692680359
11.348909001,-1.25987946987152
11.414178001,-1.24890470504761
11.479356,-1.25649726390839
11.544589,-1.26209199428558
11.609809001,-1.19575846195221
11.675027001,-1.17656540870667
11.74025,-1.16495525836945
11.805592,-1.14627504348755
11.870697001,-1.14415752887726
11.935906,-1.15696823596954
12.001166001,-1.1484477519989
12.066353001,-1.11426973342896
12.131592001,-1.11850988864899
12.1968,-1.10195410251617
12.262044,-1.12022709846497
12.327248,-1.13687908649445
12.392721,-1.10459661483765
12.457755001,-1.11778771877289
12.522999001,-1.09270215034485
12.588156001,-1.09247124195099
12.653405001,-1.12778949737549
12.718611,-1.09529685974121
12.783827,-1.08446884155273
12.849050001,-1.11996066570282
12.914399,-1.10752069950104
12.979501001,-1.11852312088013
13.044721,-1.07881104946136
13.109944001,-1.10667407512665
13.175168001,-1.0611469745636
13.240390001,-1.07068920135498
13.305795,-1.01253044605255
13.370880001,-1.06444907188416
13.436064,-1.1083892583847
13.501285,-1.11536335945129
13.566509,-1.12760090827942
13.631771001,-1.14374041557312
13.696956001,-1.12816452980042
13.762180001,-1.13975298404694
13.827403,-1.13075959682465
13.892626001,-1.12603533267975
13.957836001,-1.13720631599426
14.023195,-1.14082896709442
14.088285001,-1.11566424369812
14.153523001,-1.05752170085907
14.218934,-1.19093441963196
14.283969001,-1.24968826770782
14.349191001,-1.2398556470871
14.414415001,-1.25231659412384
14.479703001,-1.21663665771484
14.544926,-1.16464948654175
14.610085001,-1.13564741611481
14.675308,-1.13098752498627
14.740862001,-1.13745641708374
14.805756,-1.11964809894562
14.870992,-1.11677169799805
14.936203001,-1.16030716896057
15.001426,-1.16070795059204
15.06665,-1.14706122875214
