Tempo_s,Valor
0,0
0.0652430010000025,0
0.130462001000001,0
0.195686001000002,0
0.260921,0
0.326132001000001,0
0.391356001000002,0
0.456724001000001,0
0.521808,0
0.587027001000003,0
0.652250001000002,0
0.717474000999999,0
0.78274,0
0.847920999999999,0
0.913187000000001,0
0.978388001000003,0
1.043609,0
1.108801,-0.0214510262012482
1.174132,0
1.239247001,0
1.304498001,0
1.369694001,0
1.434933,0
1.500525,0
1.565571001,0
1.630605001,0
1.695828001,0
1.761051001,-0.00134216411970556
1.826274001,0
1.891655,0
1.956721001,0
2.021944001,0
2.087191,0
2.152407,0
2.217618001,-0.0741733685135841
2.283008001,0
2.348063,0
2.413286,0
2.478509001,0
2.543732001,0
2.609007001,0
2.674179001,0
2.739416001,0
2.804631,0
2.869836,0
2.935074,0
3.000348001,0
3.065523001,0
3.130743001,0
3.195989,0
3.261176001,0
3.326558001,0
3.391793,0
3.456875,0
3.522089001,0
3.587309001,0
3.652877,0
3.717780001,0
3.782980001,0
3.848281,0
3.913429,0
3.978650001,0
4.043875,0
4.109169001,0
4.174320001,0
4.239544001,0
4.304768001,0
4.369991001,0
4.435308001,0
4.500658001,0
4.565663,0
4.630888001,0
4.696109,0
4.761319,0
4.826596001,0
4.891778001,0
4.957003,0
5.022212,0
5.087449,0
5.152837001,0
5.2179,0
5.283123,0
5.348357,0
5.413624001,0
5.478791001,0
5.544014,0
5.609239001,0
5.674519,0
5.739689001,0
5.804909001,0
5.870132001,0
5.935421001,0
6.00058,0
6.065803001,0
6.131048,0
6.196249001,0
6.261474,-0.202239707112312
6.326815,0
6.391922,0
6.457144,0
6.522368,0
6.587592,0
6.652879001,0
6.718039,0
6.783271001,0
6.848485,0
6.913694,0
6.978932,0
7.044264001,0
7.109379,0
7.174639001,0
7.239957,0
7.305050001,-0.0494357906281948
7.370348,0.0835324451327324
7.435497001,0
7.500741001,0
7.565962001,0
7.631168001,0
7.696391001,0
7.761688,0
7.826851001,0
7.892062001,0
7.957292001,0
8.022508001,0
8.087732001,0
8.153065001,0
8.218204,0
8.283403,0
8.348642001,0
8.413836,0
8.479314001,0
8.544283,0
8.609556001,0
8.674734,0
8.739980001,0
8.805803,0
8.870518,0
8.935927,0
9.000862001,0
